"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.043954,0.043954,1,0.892,0.892,0.5,0.25
0.048133,0.048133,1,0.896,0.896,0.5,0.25
0.052312,0.052312,1,0.9,0.9,0.5,0.25
0.056491,0.056491,1,0.904,0.904,0.5,0.25
0.06067,0.06067,1,0.908,0.908,0.5,0.25
0.06485,0.06485,1,0.912,0.912,0.5,0.25
0.069029,0.069029,1,0.916,0.916,0.5,0.25
0.073208,0.073208,1,0.92,0.92,0.5,0.25
0.077387,0.077387,1,0.924,0.924,0.5,0.25
0.081566,0.081566,1,0.928,0.928,0.5,0.25
0.085745,0.085745,1,0.932,0.932,0.5,0.25
0.089924,0.089924,1,0.936,0.936,0.5,0.25
0.094103,0.094103,1,0.94,0.94,0.5,0.25
0.098283,0.098283,1,0.944,0.944,0.5,0.25
0.10246,0.10246,1,0.948,0.948,0.5,0.25
0.10664,0.10664,1,0.952,0.952,0.5,0.25
0.11082,0.11082,1,0.956,0.956,0.5,0.25
0.115,0.115,1,0.96,0.96,0.5,0.25
0.11918,0.11918,1,0.964,0.964,0.5,0.25
0.11791,0.11791,1,0.968,0.968,0.5,0.25
0.1271,0.1271,1,0.972,0.972,0.5,0.25
0.13629,0.13629,1,0.976,0.976,0.5,0.25
0.14548,0.14548,1,0.98,0.98,0.5,0.25
0.15467,0.15467,1,0.984,0.984,0.5,0.25
0.16385,0.16385,1,0.988,0.988,0.5,0.25
0.17304,0.17304,1,0.992,0.992,0.5,0.25
0.18223,0.18223,1,0.996,0.996,0.5,0.25
0.19142,0.19142,1,1,1,0.5,0.25
0.20061,0.20061,1,1.004,1.004,0.5,0.25
0.2098,0.2098,1,1.008,1.008,0.5,0.25
0.20872,0.20872,1,1.012,1.012,0.5,0.25
0.22322,0.22322,1,1.016,1.016,0.5,0.25
0.23771,0.23771,1,1.02,1.02,0.5,0.25
0.25221,0.25221,1,1.024,1.024,0.5,0.25
0.26671,0.26671,1,1.028,1.028,0.5,0.25
0.2812,0.2812,1,1.032,1.032,0.5,0.25
0.2957,0.2957,1,1.036,1.036,0.5,0.25
