"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.5637,3.5634,1,1.328,1.328,0.5,0.25
3.5888,3.5883,1,1.332,1.332,0.5,0.25
3.6139,3.6133,1,1.336,1.336,0.5,0.25
3.639,3.6383,1,1.34,1.34,0.5,0.25
3.6641,3.6632,1,1.344,1.344,0.5,0.25
3.6892,3.6882,1,1.348,1.348,0.5,0.25
3.7143,3.7131,1,1.352,1.352,0.5,0.25
3.7394,3.7381,1,1.356,1.356,0.5,0.25
3.7646,3.7631,1,1.36,1.36,0.5,0.25
3.7897,3.788,1,1.364,1.364,0.5,0.25
3.8361,3.8333,1,1.368,1.368,0.5,0.25
3.8566,3.8537,1,1.372,1.372,0.5,0.25
3.8771,3.874,1,1.376,1.376,0.5,0.25
3.8976,3.8943,1,1.38,1.38,0.5,0.25
3.9181,3.9147,1,1.384,1.384,0.5,0.25
3.9669,3.9631,1,1.388,1.388,0.5,0.25
3.9753,3.9713,1,1.392,1.392,0.5,0.25
3.9836,3.9795,1,1.396,1.396,0.5,0.25
3.992,3.9877,1,1.4,1.4,0.5,0.25
4.0004,3.9958,1,1.404,1.404,0.5,0.25
4.0087,4.004,1,1.408,1.408,0.5,0.25
4.0171,4.0122,1,1.412,1.412,0.5,0.25
4.0255,4.0204,1,1.416,1.416,0.5,0.25
4.0338,4.0286,1,1.42,1.42,0.5,0.25
4.0422,4.0368,1,1.424,1.424,0.5,0.25
4.0506,4.045,1,1.428,1.428,0.5,0.25
4.059,4.0532,1,1.432,1.432,0.5,0.25
4.0673,4.0614,1,1.436,1.436,0.5,0.25
4.0757,4.0696,1,1.44,1.44,0.5,0.25
4.0927,4.0857,1,1.444,1.444,0.5,0.25
4.1172,4.1096,1,1.448,1.448,0.5,0.25
4.1192,4.1114,1,1.452,1.452,0.5,0.25
4.1211,4.1133,1,1.456,1.456,0.5,0.25
4.123,4.1151,1,1.46,1.46,0.5,0.25
4.1328,4.1263,1,1.464,1.464,0.5,0.25
4.1344,4.1279,1,1.468,1.468,0.5,0.25
4.136,4.1296,1,1.472,1.472,0.5,0.25
4.1376,4.1312,1,1.476,1.476,0.5,0.25
4.1392,4.1329,1,1.48,1.48,0.5,0.25
4.1408,4.1345,1,1.484,1.484,0.5,0.25
4.1424,4.1362,1,1.488,1.488,0.5,0.25
4.144,4.1378,1,1.492,1.492,0.5,0.25
4.1456,4.1395,1,1.496,1.496,0.5,0.25
4.1471,4.1411,1,1.5,1.5,0.5,0.25
4.1487,4.1428,1,1.504,1.504,0.5,0.25
4.1503,4.1444,1,1.508,1.508,0.5,0.25
4.1618,4.1562,1,1.512,1.512,0.5,0.25
4.1607,4.1551,1,1.516,1.516,0.5,0.25
4.1595,4.154,1,1.52,1.52,0.5,0.25
4.1583,4.1528,1,1.524,1.524,0.5,0.25
4.1572,4.1517,1,1.528,1.528,0.5,0.25
4.156,4.1506,1,1.532,1.532,0.5,0.25
4.1548,4.1495,1,1.536,1.536,0.5,0.25
4.1536,4.1484,1,1.54,1.54,0.5,0.25
4.1525,4.1473,1,1.544,1.544,0.5,0.25
4.1513,4.1462,1,1.548,1.548,0.5,0.25
4.1501,4.145,1,1.552,1.552,0.5,0.25
4.1489,4.1439,1,1.556,1.556,0.5,0.25
4.1478,4.1428,1,1.56,1.56,0.5,0.25
4.1466,4.1417,1,1.564,1.564,0.5,0.25
4.1454,4.1406,1,1.568,1.568,0.5,0.25
4.1442,4.1395,1,1.572,1.572,0.5,0.25
4.1431,4.1384,1,1.576,1.576,0.5,0.25
4.1419,4.1372,1,1.58,1.58,0.5,0.25
4.1407,4.1361,1,1.584,1.584,0.5,0.25
4.1396,4.135,1,1.588,1.588,0.5,0.25
4.1384,4.1339,1,1.592,1.592,0.5,0.25
4.1372,4.1328,1,1.596,1.596,0.5,0.25
4.136,4.1317,1,1.6,1.6,0.5,0.25
4.1349,4.1306,1,1.604,1.604,0.5,0.25
4.1337,4.1294,1,1.608,1.608,0.5,0.25
4.1325,4.1283,1,1.612,1.612,0.5,0.25
4.1313,4.1272,1,1.616,1.616,0.5,0.25
4.1302,4.1261,1,1.62,1.62,0.5,0.25
4.129,4.125,1,1.624,1.624,0.5,0.25
4.1278,4.1239,1,1.628,1.628,0.5,0.25
4.1266,4.1228,1,1.632,1.632,0.5,0.25
4.1255,4.1216,1,1.636,1.636,0.5,0.25
4.1173,4.1137,1,1.64,1.64,0.5,0.25
4.1142,4.1107,1,1.644,1.644,0.5,0.25
4.1111,4.1078,1,1.648,1.648,0.5,0.25
4.108,4.1048,1,1.652,1.652,0.5,0.25
4.1049,4.1019,1,1.656,1.656,0.5,0.25
4.1018,4.0989,1,1.66,1.66,0.5,0.25
4.0987,4.0959,1,1.664,1.664,0.5,0.25
4.0955,4.093,1,1.668,1.668,0.5,0.25
4.0924,4.09,1,1.672,1.672,0.5,0.25
4.0893,4.087,1,1.676,1.676,0.5,0.25
4.0862,4.0841,1,1.68,1.68,0.5,0.25
4.0737,4.0716,1,1.684,1.684,0.5,0.25
4.0703,4.0686,1,1.688,1.688,0.5,0.25
4.0669,4.0656,1,1.692,1.692,0.5,0.25
4.0634,4.0626,1,1.696,1.696,0.5,0.25
4.06,4.0596,1,1.7,1.7,0.5,0.25
4.0566,4.0566,1,1.704,1.704,0.5,0.25
4.0531,4.0535,1,1.708,1.708,0.5,0.25
4.0497,4.0505,1,1.712,1.712,0.5,0.25
4.0463,4.0475,1,1.716,1.716,0.5,0.25
4.0428,4.0445,1,1.72,1.72,0.5,0.25
4.0394,4.0415,1,1.724,1.724,0.5,0.25
4.0326,4.034,1,1.728,1.728,0.5,0.25
4.0297,4.0319,1,1.732,1.732,0.5,0.25
4.02,4.0187,1,1.736,1.736,0.5,0.25
4.0183,4.0182,1,1.74,1.74,0.5,0.25
4.0167,4.0177,1,1.744,1.744,0.5,0.25
4.015,4.0172,1,1.748,1.748,0.5,0.25
4.0133,4.0168,1,1.752,1.752,0.5,0.25
4.0047,4.0096,1,1.756,1.756,0.5,0.25
4.0029,4.0091,1,1.76,1.76,0.5,0.25
4.0011,4.0086,1,1.764,1.764,0.5,0.25
3.9993,4.008,1,1.768,1.768,0.5,0.25
3.9975,4.0075,1,1.772,1.772,0.5,0.25
nan,nan,0,1.776,1.776,0.5,0.25
nan,nan,0,1.78,1.78,0.5,0.25
3.9921,4.0059,1,1.784,1.784,0.5,0.25
3.9904,4.0053,1,1.788,1.788,0.5,0.25
3.9886,4.0048,1,1.792,1.792,0.5,0.25
3.9868,4.0043,1,1.796,1.796,0.5,0.25
3.985,4.0037,1,1.8,1.8,0.5,0.25
3.9832,4.0032,1,1.804,1.804,0.5,0.25
3.9814,4.0026,1,1.808,1.808,0.5,0.25
3.9796,4.0021,1,1.812,1.812,0.5,0.25
3.9778,4.0016,1,1.816,1.816,0.5,0.25
3.976,4.001,1,1.82,1.82,0.5,0.25
