"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.019584,1,1.875,1.875,0.5,0.25
0.019576,1,1.88,1.88,0.5,0.25
0.019559,1,1.885,1.885,0.5,0.25
0.019531,1,1.89,1.89,0.5,0.25
0.019494,1,1.895,1.895,0.5,0.25
0.019446,1,1.9,1.9,0.5,0.25
0.019388,1,1.905,1.905,0.5,0.25
0.01932,1,1.91,1.91,0.5,0.25
0.019242,1,1.915,1.915,0.5,0.25
0.019154,1,1.92,1.92,0.5,0.25
0.019056,1,1.925,1.925,0.5,0.25
0.018947,1,1.93,1.93,0.5,0.25
0.018828,1,1.935,1.935,0.5,0.25
0.0187,1,1.94,1.94,0.5,0.25
0.018561,1,1.945,1.945,0.5,0.25
0.018412,1,1.95,1.95,0.5,0.25
0.018253,1,1.955,1.955,0.5,0.25
0.018083,1,1.96,1.96,0.5,0.25
0.017904,1,1.965,1.965,0.5,0.25
0.017714,1,1.97,1.97,0.5,0.25
0.01727,1,1.975,1.975,0.5,0.25
0.017262,1,1.98,1.98,0.5,0.25
0.01725,1,1.985,1.985,0.5,0.25
0.017234,1,1.99,1.99,0.5,0.25
0.017215,1,1.995,1.995,0.5,0.25
0.017191,1,2,2,0.5,0.25
0.017165,1,2.005,2.005,0.5,0.25
0.017135,1,2.01,2.01,0.5,0.25
0.017101,1,2.015,2.015,0.5,0.25
0.017063,1,2.02,2.02,0.5,0.25
0.017022,1,2.025,2.025,0.5,0.25
0.016978,1,2.03,2.03,0.5,0.25
0.016929,1,2.035,2.035,0.5,0.25
0.016877,1,2.04,2.04,0.5,0.25
0.016822,1,2.045,2.045,0.5,0.25
0.016763,1,2.05,2.05,0.5,0.25
0.0167,1,2.055,2.055,0.5,0.25
0.016634,1,2.06,2.06,0.5,0.25
0.016564,1,2.065,2.065,0.5,0.25
0.01649,1,2.07,2.07,0.5,0.25
0.016413,1,2.075,2.075,0.5,0.25
0.016544,1,2.08,2.08,0.5,0.25
0.016556,1,2.085,2.085,0.5,0.25
0.016566,1,2.09,2.09,0.5,0.25
0.016573,1,2.095,2.095,0.5,0.25
0.016578,1,2.1,2.1,0.5,0.25
0.01658,1,2.105,2.105,0.5,0.25
0.016579,1,2.11,2.11,0.5,0.25
0.016576,1,2.115,2.115,0.5,0.25
0.016571,1,2.12,2.12,0.5,0.25
0.016563,1,2.125,2.125,0.5,0.25
0.016552,1,2.13,2.13,0.5,0.25
0.016539,1,2.135,2.135,0.5,0.25
0.016524,1,2.14,2.14,0.5,0.25
0.016506,1,2.145,2.145,0.5,0.25
0.016486,1,2.15,2.15,0.5,0.25
0.016463,1,2.155,2.155,0.5,0.25
0.016437,1,2.16,2.16,0.5,0.25
0.016409,1,2.165,2.165,0.5,0.25
0.016378,1,2.17,2.17,0.5,0.25
0.016345,1,2.175,2.175,0.5,0.25
0.01631,1,2.18,2.18,0.5,0.25
0.016272,1,2.185,2.185,0.5,0.25
0.016167,1,2.19,2.19,0.5,0.25
0.016211,1,2.195,2.195,0.5,0.25
0.01625,1,2.2,2.2,0.5,0.25
0.016285,1,2.205,2.205,0.5,0.25
0.016315,1,2.21,2.21,0.5,0.25
0.016341,1,2.215,2.215,0.5,0.25
0.016361,1,2.22,2.22,0.5,0.25
0.016377,1,2.225,2.225,0.5,0.25
0.016389,1,2.23,2.23,0.5,0.25
0.016395,1,2.235,2.235,0.5,0.25
0.016398,1,2.24,2.24,0.5,0.25
0.016395,1,2.245,2.245,0.5,0.25
0.016388,1,2.25,2.25,0.5,0.25
0.016376,1,2.255,2.255,0.5,0.25
0.016359,1,2.26,2.26,0.5,0.25
0.016338,1,2.265,2.265,0.5,0.25
0.016312,1,2.27,2.27,0.5,0.25
0.016281,1,2.275,2.275,0.5,0.25
0.016246,1,2.28,2.28,0.5,0.25
0.016206,1,2.285,2.285,0.5,0.25
0.016161,1,2.29,2.29,0.5,0.25
0.016112,1,2.295,2.295,0.5,0.25
0.016773,1,2.3,2.3,0.5,0.25
0.016903,1,2.305,2.305,0.5,0.25
0.017019,1,2.31,2.31,0.5,0.25
0.017122,1,2.315,2.315,0.5,0.25
0.01721,1,2.32,2.32,0.5,0.25
0.017284,1,2.325,2.325,0.5,0.25
0.017344,1,2.33,2.33,0.5,0.25
0.01739,1,2.335,2.335,0.5,0.25
0.017422,1,2.34,2.34,0.5,0.25
0.017441,1,2.345,2.345,0.5,0.25
0.017445,1,2.35,2.35,0.5,0.25
0.017435,1,2.355,2.355,0.5,0.25
0.017411,1,2.36,2.36,0.5,0.25
0.017374,1,2.365,2.365,0.5,0.25
0.017322,1,2.37,2.37,0.5,0.25
0.017256,1,2.375,2.375,0.5,0.25
0.017176,1,2.38,2.38,0.5,0.25
0.017083,1,2.385,2.385,0.5,0.25
0.016975,1,2.39,2.39,0.5,0.25
0.016853,1,2.395,2.395,0.5,0.25
0.016717,1,2.4,2.4,0.5,0.25
0.016792,1,2.405,2.405,0.5,0.25
0.016957,1,2.41,2.41,0.5,0.25
0.017105,1,2.415,2.415,0.5,0.25
0.017234,1,2.42,2.42,0.5,0.25
0.017346,1,2.425,2.425,0.5,0.25
0.017439,1,2.43,2.43,0.5,0.25
0.017515,1,2.435,2.435,0.5,0.25
