"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.009253,1,2.045,2.045,0.5,0.25
0.0091799,1,2.05,2.05,0.5,0.25
0.0091069,1,2.055,2.055,0.5,0.25
0.0090338,1,2.06,2.06,0.5,0.25
0.0089608,1,2.065,2.065,0.5,0.25
0.0088878,1,2.07,2.07,0.5,0.25
0.0088147,1,2.075,2.075,0.5,0.25
0.0087417,1,2.08,2.08,0.5,0.25
0.0086686,1,2.085,2.085,0.5,0.25
0.0082331,1,2.09,2.09,0.5,0.25
0.008564,1,2.095,2.095,0.5,0.25
0.0085333,1,2.1,2.1,0.5,0.25
0.0085025,1,2.105,2.105,0.5,0.25
0.0084718,1,2.11,2.11,0.5,0.25
0.0084411,1,2.115,2.115,0.5,0.25
0.0084104,1,2.12,2.12,0.5,0.25
0.0083796,1,2.125,2.125,0.5,0.25
0.0083489,1,2.13,2.13,0.5,0.25
0.0083435,1,2.135,2.135,0.5,0.25
0.0083141,1,2.14,2.14,0.5,0.25
0.0082847,1,2.145,2.145,0.5,0.25
0.0082553,1,2.15,2.15,0.5,0.25
0.008226,1,2.155,2.155,0.5,0.25
0.0081966,1,2.16,2.16,0.5,0.25
0.0081672,1,2.165,2.165,0.5,0.25
0.0081378,1,2.17,2.17,0.5,0.25
0.0081547,1,2.175,2.175,0.5,0.25
0.0081306,1,2.18,2.18,0.5,0.25
0.0081065,1,2.185,2.185,0.5,0.25
0.0080824,1,2.19,2.19,0.5,0.25
0.0080583,1,2.195,2.195,0.5,0.25
0.0080342,1,2.2,2.2,0.5,0.25
0.0080442,1,2.205,2.205,0.5,0.25
0.0080197,1,2.21,2.21,0.5,0.25
0.0079953,1,2.215,2.215,0.5,0.25
0.0079709,1,2.22,2.22,0.5,0.25
0.0079464,1,2.225,2.225,0.5,0.25
0.007922,1,2.23,2.23,0.5,0.25
0.0078976,1,2.235,2.235,0.5,0.25
0.0078731,1,2.24,2.24,0.5,0.25
0.0078487,1,2.245,2.245,0.5,0.25
0.0078337,1,2.25,2.25,0.5,0.25
0.0078039,1,2.255,2.255,0.5,0.25
0.0077741,1,2.26,2.26,0.5,0.25
0.0077442,1,2.265,2.265,0.5,0.25
0.0077144,1,2.27,2.27,0.5,0.25
0.0076846,1,2.275,2.275,0.5,0.25
0.0073813,1,2.28,2.28,0.5,0.25
0.0073646,1,2.285,2.285,0.5,0.25
0.0073914,1,2.29,2.29,0.5,0.25
0.0073612,1,2.295,2.295,0.5,0.25
0.007331,1,2.3,2.3,0.5,0.25
0.0077337,1,2.305,2.305,0.5,0.25
0.0077319,1,2.31,2.31,0.5,0.25
0.0077301,1,2.315,2.315,0.5,0.25
0.0077282,1,2.32,2.32,0.5,0.25
0.0077264,1,2.325,2.325,0.5,0.25
0.0077246,1,2.33,2.33,0.5,0.25
0.0077228,1,2.335,2.335,0.5,0.25
0.007721,1,2.34,2.34,0.5,0.25
0.0077192,1,2.345,2.345,0.5,0.25
0.0077174,1,2.35,2.35,0.5,0.25
0.0077156,1,2.355,2.355,0.5,0.25
0.0077138,1,2.36,2.36,0.5,0.25
0.007712,1,2.365,2.365,0.5,0.25
0.0077102,1,2.37,2.37,0.5,0.25
0.0077084,1,2.375,2.375,0.5,0.25
0.0077065,1,2.38,2.38,0.5,0.25
0.0077047,1,2.385,2.385,0.5,0.25
0.0077012,1,2.39,2.39,0.5,0.25
0.0076888,1,2.395,2.395,0.5,0.25
0.0076763,1,2.4,2.4,0.5,0.25
0.0076639,1,2.405,2.405,0.5,0.25
0.0076515,1,2.41,2.41,0.5,0.25
0.0076391,1,2.415,2.415,0.5,0.25
0.0076267,1,2.42,2.42,0.5,0.25
0.0076143,1,2.425,2.425,0.5,0.25
0.0076019,1,2.43,2.43,0.5,0.25
0.0075623,1,2.435,2.435,0.5,0.25
0.0075448,1,2.44,2.44,0.5,0.25
0.0075272,1,2.445,2.445,0.5,0.25
0.0075097,1,2.45,2.45,0.5,0.25
0.0074921,1,2.455,2.455,0.5,0.25
0.0074746,1,2.46,2.46,0.5,0.25
0.0074571,1,2.465,2.465,0.5,0.25
0.0075784,1,2.47,2.47,0.5,0.25
0.0075884,1,2.475,2.475,0.5,0.25
0.0076092,1,2.48,2.48,0.5,0.25
0.0076175,1,2.485,2.485,0.5,0.25
0.0075597,1,2.49,2.49,0.5,0.25
0.0075781,1,2.495,2.495,0.5,0.25
0.0075966,1,2.5,2.5,0.5,0.25
0.007615,1,2.505,2.505,0.5,0.25
0.0076334,1,2.51,2.51,0.5,0.25
0.0076518,1,2.515,2.515,0.5,0.25
0.0076703,1,2.52,2.52,0.5,0.25
0.0076759,1,2.525,2.525,0.5,0.25
0.0076893,1,2.53,2.53,0.5,0.25
0.0077027,1,2.535,2.535,0.5,0.25
0.0077161,1,2.54,2.54,0.5,0.25
0.0077295,1,2.545,2.545,0.5,0.25
0.0077429,1,2.55,2.55,0.5,0.25
0.0077563,1,2.555,2.555,0.5,0.25
0.0077697,1,2.56,2.56,0.5,0.25
0.0078659,1,2.565,2.565,0.5,0.25
0.0078904,1,2.57,2.57,0.5,0.25
0.0079149,1,2.575,2.575,0.5,0.25
0.0079394,1,2.58,2.58,0.5,0.25
0.0079639,1,2.585,2.585,0.5,0.25
0.0079884,1,2.59,2.59,0.5,0.25
0.0080129,1,2.595,2.595,0.5,0.25
0.0081182,1,2.6,2.6,0.5,0.25
0.0081392,1,2.605,2.605,0.5,0.25
0.0081236,1,2.61,2.61,0.5,0.25
0.0081403,1,2.615,2.615,0.5,0.25
0.008157,1,2.62,2.62,0.5,0.25
0.0081738,1,2.625,2.625,0.5,0.25
0.0081905,1,2.63,2.63,0.5,0.25
0.0082072,1,2.635,2.635,0.5,0.25
0.0082239,1,2.64,2.64,0.5,0.25
0.0082406,1,2.645,2.645,0.5,0.25
0.0082573,1,2.65,2.65,0.5,0.25
0.008274,1,2.655,2.655,0.5,0.25
0.0082907,1,2.66,2.66,0.5,0.25
0.0083074,1,2.665,2.665,0.5,0.25
0.0083242,1,2.67,2.67,0.5,0.25
0.0083409,1,2.675,2.675,0.5,0.25
0.0082705,1,2.68,2.68,0.5,0.25
0.0083088,1,2.685,2.685,0.5,0.25
0.008347,1,2.69,2.69,0.5,0.25
0.0083881,1,2.695,2.695,0.5,0.25
0.0084136,1,2.7,2.7,0.5,0.25
0.0084392,1,2.705,2.705,0.5,0.25
0.0084647,1,2.71,2.71,0.5,0.25
0.0086066,1,2.715,2.715,0.5,0.25
0.0086513,1,2.72,2.72,0.5,0.25
0.0086959,1,2.725,2.725,0.5,0.25
0.0087405,1,2.73,2.73,0.5,0.25
0.0087851,1,2.735,2.735,0.5,0.25
0.0087892,1,2.74,2.74,0.5,0.25
0.0088375,1,2.745,2.745,0.5,0.25
0.0088859,1,2.75,2.75,0.5,0.25
0.0089342,1,2.755,2.755,0.5,0.25
0.0089825,1,2.76,2.76,0.5,0.25
0.0090309,1,2.765,2.765,0.5,0.25
0.0090792,1,2.77,2.77,0.5,0.25
0.009142,1,2.775,2.775,0.5,0.25
0.0091949,1,2.78,2.78,0.5,0.25
0.0092479,1,2.785,2.785,0.5,0.25
0.0092712,1,2.79,2.79,0.5,0.25
0.0093141,1,2.795,2.795,0.5,0.25
0.0093692,1,2.8,2.8,0.5,0.25
0.009406,1,2.805,2.805,0.5,0.25
0.0094427,1,2.81,2.81,0.5,0.25
0.0094795,1,2.815,2.815,0.5,0.25
0.0095162,1,2.82,2.82,0.5,0.25
0.0095529,1,2.825,2.825,0.5,0.25
0.0095897,1,2.83,2.83,0.5,0.25
0.0096661,1,2.835,2.835,0.5,0.25
0.0097036,1,2.84,2.84,0.5,0.25
