"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0.051,1.951,0.5,0.25
-10,1,0.0512,1.9512,0.5,0.25
-10,1,0.0514,1.9514,0.5,0.25
-10,1,0.0516,1.9516,0.5,0.25
-10,1,0.0518,1.9518,0.5,0.25
-10,1,0.052,1.952,0.5,0.25
-10,1,0.0522,1.9522,0.5,0.25
-10,1,0.0524,1.9524,0.5,0.25
-10,1,0.0526,1.9526,0.5,0.25
-10,1,0.0528,1.9528,0.5,0.25
-10,1,0.053,1.953,0.5,0.25
-10,1,0.0532,1.9532,0.5,0.25
-10,1,0.0534,1.9534,0.5,0.25
-10,1,0.0536,1.9536,0.5,0.25
-10,1,0.0538,1.9538,0.5,0.25
-10,1,0.054,1.954,0.5,0.25
-10,1,0.0542,1.9542,0.5,0.25
-10,1,0.0544,1.9544,0.5,0.25
-10,1,0.0546,1.9546,0.5,0.25
-10,1,0.0548,1.9548,0.5,0.25
-10,1,0.055,1.955,0.5,0.25
-10,1,0.0552,1.9552,0.5,0.25
-10,1,0.0554,1.9554,0.5,0.25
-10,1,0.0556,1.9556,0.5,0.25
-10,1,0.0558,1.9558,0.5,0.25
-10,1,0.056,1.956,0.5,0.25
-10,1,0.0562,1.9562,0.5,0.25
-10,1,0.0564,1.9564,0.5,0.25
-10,1,0.0566,1.9566,0.5,0.25
-10,1,0.0568,1.9568,0.5,0.25
-10,1,0.057,1.957,0.5,0.25
-10,1,0.0572,1.9572,0.5,0.25
-10,1,0.0574,1.9574,0.5,0.25
-10,1,0.0576,1.9576,0.5,0.25
-10,1,0.0578,1.9578,0.5,0.25
-6.0323,1,0.058,1.958,0.5,0.25
-6.1063,1,0.0582,1.9582,0.5,0.25
-6.1796,1,0.0584,1.9584,0.5,0.25
-6.2523,1,0.0586,1.9586,0.5,0.25
-6.3244,1,0.0588,1.9588,0.5,0.25
-6.396,1,0.059,1.959,0.5,0.25
-6.4669,1,0.0592,1.9592,0.5,0.25
-6.5372,1,0.0594,1.9594,0.5,0.25
-6.6069,1,0.0596,1.9596,0.5,0.25
-6.6761,1,0.0598,1.9598,0.5,0.25
-6.7446,1,0.06,1.96,0.5,0.25
-6.8125,1,0.0602,1.9602,0.5,0.25
-6.8798,1,0.0604,1.9604,0.5,0.25
-6.9465,1,0.0606,1.9606,0.5,0.25
-7.0127,1,0.0608,1.9608,0.5,0.25
-7.0782,1,0.061,1.961,0.5,0.25
-7.1431,1,0.0612,1.9612,0.5,0.25
-7.2074,1,0.0614,1.9614,0.5,0.25
-7.2711,1,0.0616,1.9616,0.5,0.25
-7.3342,1,0.0618,1.9618,0.5,0.25
-7.3968,1,0.062,1.962,0.5,0.25
-7.4587,1,0.0622,1.9622,0.5,0.25
