"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.9996,1,1.308,1.308,0.5,0.25
-9.9997,1,1.312,1.312,0.5,0.25
-9.9997,1,1.316,1.316,0.5,0.25
-9.9997,1,1.32,1.32,0.5,0.25
-9.9998,1,1.324,1.324,0.5,0.25
-9.9998,1,1.328,1.328,0.5,0.25
-9.9998,1,1.332,1.332,0.5,0.25
-9.9998,1,1.336,1.336,0.5,0.25
-9.9999,1,1.34,1.34,0.5,0.25
-9.9999,1,1.344,1.344,0.5,0.25
-9.9999,1,1.348,1.348,0.5,0.25
-9.9999,1,1.352,1.352,0.5,0.25
-10,1,1.356,1.356,0.5,0.25
-10,1,1.36,1.36,0.5,0.25
-10,1,1.364,1.364,0.5,0.25
-10,1,1.368,1.368,0.5,0.25
-10,1,1.372,1.372,0.5,0.25
-10,1,1.376,1.376,0.5,0.25
-10,1,1.38,1.38,0.5,0.25
-10,1,1.384,1.384,0.5,0.25
-10.001,1,1.388,1.388,0.5,0.25
-10.001,1,1.392,1.392,0.5,0.25
-10.001,1,1.396,1.396,0.5,0.25
-10.001,1,1.4,1.4,0.5,0.25
-10.001,1,1.404,1.404,0.5,0.25
-10.001,1,1.408,1.408,0.5,0.25
-10.001,1,1.412,1.412,0.5,0.25
-10.001,1,1.416,1.416,0.5,0.25
-10.001,1,1.42,1.42,0.5,0.25
-10.001,1,1.424,1.424,0.5,0.25
-10.001,1,1.428,1.428,0.5,0.25
-10.001,1,1.432,1.432,0.5,0.25
-10.001,1,1.436,1.436,0.5,0.25
-10.002,1,1.44,1.44,0.5,0.25
-10.002,1,1.444,1.444,0.5,0.25
-10.003,1,1.448,1.448,0.5,0.25
-10.003,1,1.452,1.452,0.5,0.25
-10.003,1,1.456,1.456,0.5,0.25
-10.003,1,1.46,1.46,0.5,0.25
-10.003,1,1.464,1.464,0.5,0.25
-10.003,1,1.468,1.468,0.5,0.25
-10.003,1,1.472,1.472,0.5,0.25
-10.003,1,1.476,1.476,0.5,0.25
-10.003,1,1.48,1.48,0.5,0.25
-10.003,1,1.484,1.484,0.5,0.25
-10.003,1,1.488,1.488,0.5,0.25
-10.003,1,1.492,1.492,0.5,0.25
-10.003,1,1.496,1.496,0.5,0.25
-10.003,1,1.5,1.5,0.5,0.25
-10.003,1,1.504,1.504,0.5,0.25
-10.003,1,1.508,1.508,0.5,0.25
-10.003,1,1.512,1.512,0.5,0.25
-10.003,1,1.516,1.516,0.5,0.25
-10.003,1,1.52,1.52,0.5,0.25
-10.002,1,1.524,1.524,0.5,0.25
-10.002,1,1.528,1.528,0.5,0.25
-10.002,1,1.532,1.532,0.5,0.25
-10.001,1,1.536,1.536,0.5,0.25
-10.001,1,1.54,1.54,0.5,0.25
-10.001,1,1.544,1.544,0.5,0.25
-10,1,1.548,1.548,0.5,0.25
-9.9999,1,1.552,1.552,0.5,0.25
-9.9996,1,1.556,1.556,0.5,0.25
-9.9992,1,1.56,1.56,0.5,0.25
-9.9989,1,1.564,1.564,0.5,0.25
-9.9986,1,1.568,1.568,0.5,0.25
-9.9982,1,1.572,1.572,0.5,0.25
-9.9979,1,1.576,1.576,0.5,0.25
-9.9975,1,1.58,1.58,0.5,0.25
-9.9972,1,1.584,1.584,0.5,0.25
-9.9968,1,1.588,1.588,0.5,0.25
-9.9965,1,1.592,1.592,0.5,0.25
-9.9962,1,1.596,1.596,0.5,0.25
-9.9958,1,1.6,1.6,0.5,0.25
